Id,name,money,nationality,teams
luis-scott-vargas,Luis Scott-Vargas,0,United States of America,empty
tetsuzo-shimota,Tetsuzo Shimota,0,Japan,empty
kevin-slapnik,Kevin Slapnik,0,United States of America,empty
matthew-stadnik,Matthew Stadnik,0,United States of America,empty
erick-daniel-stix,Erick Daniel Stix,0,United States of America,empty
felipe-soares,Felipe Soares,0,Brazil,empty
gabriel-souza-braga,Gabriel Souza Braga,0,Brazil,empty
helmut-summersberger,Helmut Summersberger,0,Austria,empty
miyoshi-tatsuya,Miyoshi Tatsuya,0,Japan,empty
zsolt-tokoli,Zsolt Tokoli,0,Hungary,empty
syou-usui,Syou Usui,0,Japan,empty
michael-von-korff,Michael von Korff,0,United States of America,empty
jason-williamson,Jason Williamson,0,United States of America,empty
allen-wu,Allen Wu,0,United States of America,"[{'season': 2018, 'team': 'Hareruya North America'}]"
yuta-yamaki,Yuta Yamaki,0,Japan,empty
ben-zahneissen,Ben Zahneissen,0,Germany,empty
zhenming-zhong,Zhenming Zhong,0,China,empty
sergio-garcia-gonzalez,Sergio Garcia Gonzalez,0,Spain,empty
michael-van-vaals,Michael van Vaals,0,Canada,empty
ivan-floch,Ivan Floch,0,Slovakia,"[{'season': 2016, 'team': 'Face to Face Games'}, {'season': 2017, 'team': 'Ultra Pro'}, {'season': 2018, 'team': 'Ultra Pro'}]"
toshihiro-saida,Toshihiro Saida,0,Japan,empty
yves-chabot,Yves Chabot,0,France,empty
brett-steele,Brett Steele,0,Canada,empty
francesco-giorgio,Francesco Giorgio,0,Italy,"[{'season': 2018, 'team': 'Axion Now'}]"
morgan-mclaughlin,Morgan McLaughlin,0,Canada,"[{'season': 2018, 'team': 'FacetoFacegames'}]"
ryosuke-urase,Ryosuke Urase,0,Japan,empty
scott-lipp,Scott Lipp,0,United States of America,"[{'season': 2016, 'team': 'Massdrop West'}, {'season': 2017, 'team': 'Massdrop East'}]"
stephen-neal,Stephen Neal,0,United States of America,"[{'season': 2016, 'team': 'Hotsauce Games'}, {'season': 2017, 'team': 'Hotsauce Games'}]"
adam-helitzer,Adam Helitzer,0,United States of America,empty
akihiro-takakuwa,Akihiro Takakuwa,0,Japan,empty
akos-kenyeres,Akos Kenyeres,0,Hungary,empty
alan-andrzejewski,Alan Andrzejewski,0,Poland,empty
alejandro-betschart,Alejandro Betschart,0,Uruguay,empty
alex-cerbone,Alex Cerbone,0,United States of America,empty
alex-gellerman,Alex Gellerman,0,United States of America,empty
alexandru-dimitriu,Alexandru Dimitriu,0,Romania,empty
alfonso-concha,Alfonso Concha,0,Chile,empty
alonso-astroza-tagle,Alonso Astroza Tagle,0,Chile,empty
alois-gobert,Alois Gobert,0,France,empty
